Ranking,Island,Countries,Population
–,Afro-Eurasia,,"6,151,810,000 (2013)"
–,Americas,,"1,001,559,000 (2016)"
1,Java,Indonesia,"141,370,000"
2,Honshū,Japan,"104,000,000"
3,Great Britain,United Kingdom,"64,163,534"
4,Luzon,Philippines,"60,770,440"
5,Sumatra,Indonesia,"58,455,800"
6,Madagascar,Madagascar,"25,571,000"
7,Mindanao,Philippines,"25,537,691"
–,Mainland Australia,Australia,"24,377,200 c. (2018)"
8,Taiwan,Republic of China,"23,461,708"
9,Borneo,"Indonesia (Kalimantan),  Brunei,  Malaysia (Sabah, Sarawak)","21,258,000"
10,Sri Lanka,Sri Lanka,"21,203,000"
11,Hispaniola,"Dominican Republic,  Haiti","21,107,000"
12,Sulawesi,Indonesia,"18,455,058"
13,Salsette,India (Maharashtra),"15,111,974"
14,Kyūshū,Japan,"13,200,000"
15,New Guinea,Papua New Guinea and  Indonesia (Western New Guinea),"11,818,000"
16,Cuba,Cuba,"11,167,325"
"Population 1,000,000 to 10,000,000[edit]",,,
Ranking,Island,Country/ies,Population
17,Hainan,China,"9,035,000"
18,Long Island,United States ( New York),"7,838,822"
19,Ireland,Republic of Ireland and  United Kingdom (Northern Ireland),"6,380,661"
20,Singapore Island,Singapore,"5,607,300"
21,Hokkaidō,Japan,"5,383,579"
22,Sicily,Italy ( Sicily),"5,017,000"
23,Negros,Philippines,"4,414,131"
24,Panay,Philippines,"4,307,000"
25,Bali,Indonesia,"4,225,384"
26,Cebu,Philippines,"4,164,535"
27,Shikoku,Japan,"3,815,000"
28,North Island,New Zealand,"3,896,200"
29,Madura,Indonesia,"3,622,000"
30,Puerto Rico,Puerto Rico (territory of the  United States),"3,474,182"
31,Lombok,Indonesia,"3,311,044"
32,Timor,Indonesia (part of East Nusa Tenggara province) and  East Timor,"3,182,693"
33,Jamaica,Jamaica,"2,950,210"
34,Zhongshan Island,China and  Macau,"2,890,000"
35,Zealand,Denmark,"2,287,740"
36,Leyte,Philippines,"2,388,518"
37,Xiamen Island,China (Fujian),"2,040,000"
38,Island of Montreal,Canada ( Quebec),"2,014,221"
39,Flores,Indonesia,"1,831,000"
40,Bhola Island,Bangladesh,"1,758,000"
41,Samar,Philippines,"1,751,267"
42,Sardinia,Italy ( Sardinia),"1,659,000"
43,Manhattan Island,United States ( New York),"1,619,090"
44,Haizhu,China (Guangdong),"1,558,663"
45,São Luís,Brazil (Maranhão),"1,381,459"
46,Sumbawa,Indonesia,"1,391,340"
47,Mindoro,Philippines,"1,331,473"
48,Okinawa Island,Japan,"1,301,000"
49,Trinidad,Trinidad and Tobago,"1,267,145"
50,Hong Kong Island,Hong Kong,"1,253,417"
51,Mauritius,Mauritius,"1,219,265"
52,Bohol,Philippines,"1,211,000"
53,South Island,New Zealand,"1,187,300"
54,Batam,Indonesia,"1,153,860"
55,Bahrain Island,Bahrain,"1,095,000"
56,Cyprus,"Cyprus,  Akrotiri and Dhekelia (UK),  Northern Cyprus (Recognised only by Turkey)","1,088,503"
"Population 500,000 to 1,000,000[edit]",,,
Ranking,Island,Country,Population
57,Oahu,United States ( Hawaii),"976,372"
58,Bangka,Indonesia,"960,692"
59,Tenerife,Spain ( Canary Islands),"906,854"
60,Unguja (Zanzibar Island),Tanzania ( Zanzibar),"896,721"
61,Palawan,Philippines,"886,308"
62,Mallorca,Spain ( Balearic Islands),"862,397"
63,Penang Island,Malaysia,"860,000"
64,Gran Canaria,Spain ( Canary Islands),"838,397"
65,Réunion,France,"837,868"
66,Cangshan,China (Fujian),"762,746"
67,São Vicente,Brazil ( São Paulo),"760,000"
68,Nias,Indonesia,"756,338"
69,Vancouver Island,Canada ( British Columbia),"870,297"
70,Masbate,Philippines,"706,897"
71,Sumba,Indonesia ( East Nusa Tenggara),"686,113"
72,Viti Levu,Fiji,"661,997"
73,Crete,Greece,"623,065"
74,Jeju,South Korea,"621,550"
75,Chongming,China (Shanghai),"615,297"
76,Phuket,Thailand,"525,018"
77,New Britain,Papua New Guinea,"513,926"
78,Tasmania,Australia,"507,626"
79,Zhoushan,China (Zhejiang),"502,667"
80,Newfoundland,Canada ( Newfoundland and Labrador),"502,273"
"Population 100,000 to 500,000[edit]",,,
Ranking,Island,hideCountry,Population
81,Staten Island,"United States ( New York City,  New York)","474,558"
82,Sakhalin,Russia,"471,515"
83,Halmahera,Indonesia,"449,938"
84,Jolo,Philippines,"530,000"
85,Buton,Indonesia,"447,408"
86,Funen,Denmark,"466,284"
87,Ambon,Indonesia,"441,000"
88,Margarita Island,Venezuela,"489,917"
89,Seram,Indonesia,"434,113"
90,Île Jésus,Canada ( Quebec),"429,413"
90,IJsselmonde,Netherlands,"423,000"
91,Santa Catarina,Brazil (Santa Catarina),"420,000"
92,Pemba,Tanzania,"406,808"
93,Sandwip,Bangladesh,"400,000"
94,Basilan,Philippines,"459,367"
95,Martinique,France (Martinique),"390,371"
96,Malta,Malta,"386,057"
97,Mactan,Philippines,"467,824"
98,Marajó,Brazil (Pará),"383,336"
99,Grande Comore,Comoros,"369,600"
100,Pingtan (Haitan),China (Fujian),"357,760"
101,Ukerewe Island,Tanzania,"345,147"
102,Yangzhong,China (Jiangsu),"334,977"
103,Bioko,Equatorial Guinea,"339,695"
104,Bintan,Indonesia,"329,659"
105,Iceland,Iceland,"325,671"
106,Maheshkhali,Bangladesh,"321,218"
107,Flevopolder,Netherlands (Flevoland),"344,521"
108,Corsica,France,"316,578"
109,Santo Amaro (Guarujá),Brazil (São Paulo),"308,989"
110,Anjouan,Comoros,"306,800"
111,Vendsyssel-Thy,Denmark,"306,373"
112,Vitória,Brazil (Espirito Santo),"300,000"
113,Chengār,Bangladesh,"292,057"
114,Abu Dhabi,United Arab Emirates,"280,385"
115,Barbados,Barbados,"279,254"
116,Muna,Indonesia,"268,140"
117,Santiago,Cape Verde,"290,280"
118,Madeira,Portugal,"262,456"
119,Belitung,Indonesia,"262,357"
120,Grande Terre,New Caledonia (sui generis collectivity of  France),"247,669"
121,Geoje Island,South Korea,"241,711"
122,Bushrod,Liberia,"234,596"
123,Bougainville,Papua New Guinea,"234,280"
124,Marinduque,Philippines,"227,828"
125,Lagos Island,Nigeria,"212,700"
126,Governador Island,Brazil (Rio de Janeiro),"212,574"
127,New Providence,Bahamas,"210,832"
128,Euboea,Greece,"210,815"
129,Lulu Island,Canada ( British Columbia),"206,300"
130,Vasilievsky Island,Russia,"202,650"
131,Grande-Terre,France (Guadeloupe),"197,603"
132,New Ireland,Papua New Guinea,"194,067"
133,Tarakan,Indonesia ( North Kalimantan),"193,370"
135,Tsing Yi,Hong Kong,"191,500"
136,Dongchong Island,China (Guangdong),"191,019"
137,Hawaii (island),United States ( Hawaii),"190,821"
138,Muharraq,Bahrain,"188,597"
139,Grande Terre,France (Mayotte),"188,442"
140,Raghopur,India,"187,722"
141,Chiloé,Chile,"186,933"
142,Basse-Terre,France (Guadeloupe),"186,661"
143,Ternate,Indonesia ( North Maluku),"185,705"
144,Jinshazhou,China (Guangdong),"183,000"
145,South Andaman Island,India (Andaman and Nicobar Islands),"181,949"
146,Tahiti,French Polynesia (overseas collectivity of  France),"178,133"
147,Isla Grande de Tierra del Fuego,Argentina and  Chile,"172,797"
148,São Tomé,São Tomé and Príncipe,"171,856"
149,Voorne-Putten,Netherlands,"170,411"
-,Pulau Petak,Indonesia,"170,000 + in 2010[100]"
150,"Carmen, Campeche",Mexico,"169,466"
151,Majuli,India (Assam),"167,304"
152,Csepel Island,Hungary ( Budapest),"165,000"
153,Buru,Indonesia ( Maluku),"162,116"
154,Guimaras,Philippines,"162,943"
155,Saint Lucia,Saint Lucia,"166,526"
,,,
157,Maui,United States (Hawaii),"160,202"
158,Amager,Denmark,"160,064"
159,Guam,United States,"160,000"
160,Guadalcanal,Solomon Islands,"158,222"
161,Tablas,Philippines,"158,050"
162,Biliran,Philippines,"155,061"
163,Malé,Maldives,"153,379"
164,Qeshm,Iran,"148,993"
130,Portsea Island,United Kingdom ( England),"205,400"
165,Prince Edward Island,Canada ( Prince Edward Island),"148,649"
166,Mombasa,Kenya,"146,334"
167,Upolu,Samoa,"147,629"
169,Alor,Indonesia,"145,299"
170,Yeong Island,South Korea (Busan),"144,884"
171,Isle of Wight,United Kingdom ( England),"139,800"
172,Malaita,Solomon Islands,"137,596"
173,Djerba,Tunisia,"139,517"
174,Awaji,Japan,"138,804"
175,Curaçao,Curaçao (autonomous country in the  Kingdom of the Netherlands),"156,971"
176,São Miguel,Portugal ( Azores),"137,830"
177,Bantayan,Philippines,"136,960"
178,Mannar Island,Sri Lanka,"132,000"
179,Lanzarote,Spain ( Canary Islands),"131,708"
180,Cape Breton Island,Canada ( Nova Scotia),"131,606"
181,Xiaoguwei,China (Guangdong),"131,470"
182,Hisingen,Sweden,"130,497"
183,Vanua Levu,Fiji,"130,000"
184,Kutubdia,Bangladesh,"125,279"
185,Srirangam,India (Tamil Nadu),"120,000"
186,Rhodes,Greece,"119,830"
187,Dordrecht,Netherlands,"118,601"
188,Ibiza,Spain ( Balearic Islands),"117,698"
189,Daishan,China (Zhejiang),"113,983"
190,Rote,Indonesia ( East Nusa Tenggara),"119,908"
191,Lembata,Indonesia ( East Nusa Tenggara),"117,829"
192,Biak,Indonesia ( Papua),"112,873"
193,Nansha,China (Guangdong),"112,151"
194,Peleng,Indonesia ( Central Sulawesi),"109,319"
195,Bengkalis,Indonesia ( Riau),"108,700"
196,Saint Vincent,Saint Vincent and the Grenadines,"108,600"
,,,
198,Daishan,China (Zhejiang),"105,945"
199,Corfu,Greece,"104,371"
200,Jersey,Jersey (Crown Dependency of the  United Kingdom),"104,200"
201,Aruba,Aruba (autonomous country in the  Kingdom of the Netherlands),"103,484"
202,Phu Quoc,Vietnam (Kien Giang),"103,000"
203,Lantau Island,Hong Kong,"105,000"
204,Abadan Island,Iran,"100,000"
,Waderick Wells Cay,Bahamas,
,Wadmalaw,United States,
,Waglan,China,
,Waigeo,Indonesia,
,Waiheke,New Zealand,
,Wakde,Indonesia,
,Wake,United States,
,Wakenaam,Guyana,
,Walcheren,Netherlands,
,Waldron,United States,
,Wales,Canada,
,Walfisch,Germany,
,Wallis,France,
,Walpole,Canada,
,Walrus,United States,
,,,
,,,
,,,
,,,
,Wangerooge,Germany,
,Warbah,Kuwait,
,,,
,,,
,,,
,Warnie Kępy,Poland,
,Washington,United States,
,,,
,,,
,,,
,,,
,,,
,Watkins,United States,
,Watling,United Kingdom,
,,,
,Watson,United States,
,Wax Cay,Bahamas,
,Wayland,United States,
,,,
,Weddell,United Kingdom,
,Weepecket,United States,
,,,
,,,
,,,
,,,
,Wellington Island,Chile,
,Wells,United States,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Westham,Canada,
,Weston,Canada,
,,,
,Westray,Scotland,
,,,
,Wetar,Indonesia,
,Whakaari,New Zealand,
,,,
,,,
,Whale,New Zealand,
,,,
,,,
,Whalsay,Scotland,
,Whanganui,New Zealand,
,,,
